NO	TITLE                                 ARTIST

01.	Lego                                  Axento
02.	Chinatown                             Alex Gaudino
03.	What happens in Vegas                 Chuckie feat. Gregor Salto
04.	Never makes you weak                  Darwin & Backwall
05.	Verano                                Paul Van Dyk feat. Austin
06.	Chasing summer (Miami)                Tiesto
07.	Greyhound                             Swedish House Mafia
08.	Russia                                Dimitri Vangelis & Wyman
09.	Resurrection                          Michael Calfan
10.	Rio De Janeiro                        Maison & Dragen
11.	Generation 303                        Nicky Romero
12.	Leave a light on                      Henrik B & Rudy
13.	The veldt                             Deadmau5
14.	Epic                                  Sandro Silva & Quintino
15.	Kick out the epic motherf**ker        Dada Life
16.	Feel so close                         Calvin Harris
17.	Comex                                 Markus Gardeweg
18.	The night out                         Martin Solveig
19.	Long time                             John De Sohn feat. Andreas
20.	Euphoria                              Loreen
